1
NOMBRE DEL CURSO,CLAVE,GRUPO,CUPO,PROFESOR,No. ECON,L,M,M,J,V,HORAS,CREDITOS,SERIACION
INTRODUCCIÓN AL PENSAMIENTO MATEMÁTICO,400001, , ,DR. ANTONIO LÓPEZ JAIMES,30419,08:00-09:00,-,08:00-09:00,-,08:00-09:00,6,8,*
TALLER DE MATEMÁTICAS,460000, , ,DR. LUIS FRANCO PÉREZ,29424,-,08:00-09:00,10:00-11:00,08:00-09:00,-,6,8,*
TALLER DE LITERACIDAD ACADÉMICA,4000008, , ,M. C. ARELI ROJO HERNÁNDEZ,41935,10:00-11:00,-,12:00-13:00,-,10:00-11:00,6,9,*
TALLER DE ALGÓRITMOS,4604030, , ,M. C. LUIS ÁNGEL ALARCÓN RAMOS,31123,12:00-13:00,10:00-11:00,-,10:00-11:00,-,6,10,*
SEMINARIO SOBRE SUSTENTABILIDAD,4000007, , ,DRA. MIKA OLSEN,30780,-,-,-,12:00-13:00,12:00-13:00,3,8,*
1
NOMBRE DEL CURSO,CLAVE,GRUPO,CUPO,PROFESOR,No. ECON,L,M,M,J,V,HORAS,CREDITOS,SERIACION
INTRODUCCIÓN AL PENSAMIENTO MATEMÁTICO,400001, , ,DR. ROBERTO BERNAL JAQUEZ,33676,08:00-09:00,08:00-09:00,-,08:00-09:00,-,6,8,*
TALLER DE MATEMÁTICAS,460000, , ,DRA. ALICIA MONTSERRAT ALVARADO GONZÁLEZ,41051,10:00-11:00,-,08:00-09:00,-,08:00-09:00,6,8,*
TALLER DE LITERACIDAD ACADÉMICA,4000008, , ,DR. JOSÉ ANTONIO SANTIAGO GARCÍA,19804,-,10:00-11:00,10:00-11:00,10:00-11:00,-,6,9,*
TALLER DE ALGÓRITMOS,4604030, , ,M. C. JULIÁN ALBERTO FRESÁN FIGUEROA,34683,12:00-13:00,-,12:00-13:00,-,10:00-11:00,6,10,*
SEMINARIO SOBRE SUSTENTABILIDAD,4000007, , ,DR. SAÚL ZAPOTECAS MARTÍNEZ,41066,-,12:00-13:00,-,12:00-13:00,-,3,8,*
3
NOMBRE DEL CURSO,CLAVE,GRUPO,CUPO,PROFESOR,No. ECON,L,M,M,J,V,HORAS,CREDITOS,SERIACION
CÁLCULO II,460004, , ,DR. ANTONIO LÓPEZ JAIMES,30419,10:00-12:00,08:00-09:00,10:00-11:00,-,10:00-11:00,9,14,460003
PROGRAMACIÓN ORIENTADA A OBJETOS,4604032, , ,M. C. LUIS ÁNGEL ALARCÓN RAMOS,31123,08:00-09:00,12:00-13:00,08:00-09:00,-,08:00-09:00,8,12,4604031
SISTEMAS DIGITALES,4604035, , ,DR. SAÚL ZAPOTECAS MARTÍNEZ,41066,-,10:00-11:00,-,08:00-09:00,12:00-13:00,6,10,460001
MATEMÁTICAS DISCRETAS II,460002, , ,DR. LUIS FRANCO PÉREZ,29424,-,-,12:00-13:00,10:00-12:00,-,5,8,460001
3
NOMBRE DEL CURSO,CLAVE,GRUPO,CUPO,PROFESOR,No. ECON,L,M,M,J,V,HORAS,CREDITOS,SERIACION
CÁLCULO II,460004, , ,M.C. LUIS EDUARDO URBAN RIVERO,41864,08:00-10:00,08:00-09:00,-,08:00-09:00,08:00-09:00,9,14,460003
PROGRAMACIÓN ORIENTADA A OBJETOS,4604032, , ,DR. JOSÉ NETZ ROMERO DURÁN,28219,11:00-12:00,10:00-11:00,08:00-09:00,10:00-11:00,-,8,12,4604031
SISTEMAS DIGITALES,4604035, , ,DRA. MARÍA DEL CARMEN GÓMEZ FUENTES,32447,-,12:00-13:00,10:00-11:00,12:00-13:00,-,6,10,460001
MATEMÁTICAS DISCRETAS II,460002, , ,DR. JORGE CERVANTES OJEDA,32448,-,-,12:00-13:00,-,10:00-12:00,5,8,460001
6
NOMBRE DEL CURSO,CLAVE,GRUPO,CUPO,PROFESOR,No. ECON,L,M,M,J,V,HORAS,CREDITOS,SERIACION
SISTEMAS OPERATIVOS,4600017, , ,DR. ABEL GARCÍA NÁJERA,35149,08:00-10:00,-,08:00-09:00,-,08:00-09:00,7,11,4604034 y 4604036
BASE DE DATOS,4600018, , ,DRA. MIKA OLSEN,30780,11:00-13:00,-,10:00-11:00,-,10:00-11:00,7,11,4604033
ANÁLISIS Y DISEÑO DE ALGORITMOS,4604039, , ,DR. JOSÉ ANTONIO SANTIAGO GARCÍA,19804,-,08:00-09:00,12:00-13:00,08:00-09:00,-,6,10,460003 y 4604034
CONSTRUCCIÓN DE SOFTWARE,4600015, , ,M. C. ARELI ROJO HERNÁNDEZ,41935,-,10:00-12:00,-,10:00-11:00,-,5,7,4600016 y 4604033
6
NOMBRE DEL CURSO,CLAVE,GRUPO,CUPO,PROFESOR,No. ECON,L,M,M,J,V,HORAS,CREDITOS,SERIACION
SISTEMAS OPERATIVOS,4600017, , ,M. C. JULIÁN ALBERTO FRESÁN FIGUEROA,34683,08:00-10:00,-,08:00-09:00,-,08:00-09:00,7,11,4604034 y 4604036
BASE DE DATOS,4600018, , ,M.C. LUIS EDUARDO URBAN RIVERO,41864,11:00-13:00,10:00-11:00,-,10:00-11:00,-,7,11,4604033
ANÁLISIS Y DISEÑO DE ALGORITMOS,4604039, , ,DRA. ALICIA MONTSERRAT ALVARADO GONZÁLEZ,41051,-,08:00-09:00,10:00-11:00,08:00-09:00,-,6,10,460003 y 4604034
CONSTRUCCIÓN DE SOFTWARE,4600015, , ,DR. ROBERTO BERNAL JAQUEZ,33676,-,12:00-13:00,-,12:00-13:00,10:00-13:00,5,7,4600016 y 4604033
